Fuel Type Code,Station Name,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude
ELEC,Duke Energy,,9,,39.70909,-86.3894
ELEC,MCDONALD SWLA CHARGE AT MCD 1,1,1,,30.198704,-93.212318
ELEC,3M,42,2,,44.95121,-92.9952
ELEC,UWB CASCADIA CC NORTH LEVEL 3 N,,2,,47.761878,-122.191915
ELEC,CITY OF REDMOND CITY HALL DUAL,,2,,47.679224,-122.12995
ELEC,CITY OF REDMOND MOC #1 PUBLIC,,2,,47.672359,-122.099034
ELEC,WILLOWS LODGE WILLOWS #2,,2,,47.734211,-122.147041
ELEC,MGE PINNACLE HEALTH,,1,,43.011411,-89.459112
ELEC,MGE WILLY ST W,,1,,43.096636,-89.500008
ELEC,City of Raleigh - Municipal Building,,2,,35.778416,-78.64347
ELEC,City of Raleigh - Downtown,,1,,35.77435,-78.642287
ELEC,Missouri University of Science and Technology - E3 Commons,,2,,37.958953,-91.779289
ELEC,Clay Cooley Nissan,,2,1,30.206145,-97.759109
ELEC,Eversource Energy Park,,1,,42.999265,-71.467911
ELEC,Super 8 - Ukiah,,1,,39.1458,-123.198497
ELEC,KEMET Corp,,1,,34.749177,-82.279741
ELEC,Hotel Floyd,,1,,36.910575,-80.31736
ELEC,Virginia Commonwealth University (VCU) - West Broad Street Parking Deck,,2,,37.551409,-77.45233
ELEC,Virginia Commonwealth University (VCU) - N-Deck Parking Deck,,2,,37.543387,-77.42953
ELEC,Oak Ridge Nissan,,1,,36.010279,-84.268049
ELEC,Newton Nissan South,,1,,35.558371,-86.448276
ELEC,McGavock Nissan - Abilene,,1,,32.408909,-99.771463
ELEC,McGavock Nissan - Amarillo,,2,,35.159354,-101.938937
ELEC,Don Davis Nissan,,1,,32.676458,-97.087169
ELEC,Town North Nissan,,1,1,30.374542,-97.731445
ELEC,Baytown Nissan,,1,,29.807253,-94.97383365
ELEC,Mike Smith Nissan,,1,,30.062535,-94.133511
ELEC,Grubbs Nissan,,1,2,32.839339,-97.160994
ELEC,Douglass Nissan,,1,,30.639201,-96.30671
ELEC,Ed Hicks Nissan,,1,,27.73082,-97.416019
ELEC,Clay Cooley Nissan,,1,1,32.646784,-96.863492
ELEC,Classic Nissan,,1,,33.775328,-96.58308
ELEC,Casa Nissan,,1,,31.783928,-106.417267
ELEC,Viva Nissan,,1,,31.724024,-106.302211
ELEC,Nissan of Fort Worth,,1,1,32.721585,-97.478539
ELEC,Texas Nissan of Grapevine,,1,1,32.928183,-97.09448
ELEC,Charlie Clark Nissan,,1,,26.186259,-97.734663
ELEC,Baker Nissan North,,1,2,29.913418,-95.611942
ELEC,Central Houston Nissan,,1,4,29.676558,-95.422537
ELEC,McDavid Nissan,,1,1,29.625565,-95.22531
ELEC,Mossy Nissan,,1,1,29.785494,-95.60022
ELEC,Tom Peacock Nissan,,1,1,29.990205,-95.423096
ELEC,Robbins Nissan,,1,,29.990275,-95.275606
ELEC,Clay Cooley Nissan,,1,2,32.849437,-96.914294
ELEC,Katy Nissan,,1,,29.775354,-95.817237
ELEC,Bates Nissan,,1,,31.078549,-97.692745
ELEC,Sames Kingsville Nissan,,1,,27.492086,-97.84753
ELEC,Family Nissan of Laredo,,1,,27.528418,-99.458211
ELEC,Clear Lake Nissan,,1,,29.484543,-95.10255
ELEC,AutoNation Nissan - Lewisville,,1,1,33.022937,-96.988337
ELEC,Patterson Nissan - Longview,,1,,32.553772,-94.727241
ELEC,McGavock Nissan,,1,,33.535048,-101.958266
ELEC,Nissan of McKinney,,1,1,33.161606,-96.644662
ELEC,Trophy Nissan,,1,2,32.829838,-96.629967
ELEC,Nissan of Midland,,1,,32.024113,-102.151567
ELEC,Twin City Nissan,,1,,29.953433,-94.0071
ELEC,Courtesy Nissan,,2,1,32.97135,-96.719803
ELEC,Gillman Nissan,,1,,29.534537,-95.772812
ELEC,Round Rock Nissan,,1,,30.54205,-97.69265
ELEC,Jim Bass Nissan,,1,,31.44646,-100.496244
ELEC,Ancira Nissan,,1,,29.543147,-98.57544
ELEC,Gunn Nissan,,1,,29.517253,-98.467365
ELEC,Ingram Park Nissan,,1,,29.457047,-98.625324
ELEC,World Car Nissan,,1,,29.556508,-98.34469
